iteration,class,top,left,bottom,right,center_x,center_y
123,box,207.48,144.07,256.0,159.11,151.59,231.74
123,mario,112.23,170.11,126.7,185.8,177.955,119.465
123,box,239.01,80.11,253.96,95.03,87.57,246.485
123,goomba,221.17,192.67,236.04,208.36,200.515,228.605
123,box,142.34,144.08,158.01,159.12,151.60000000000002,150.175
124,box,140.4,144.09,156.07,159.08,151.585,148.235
124,box,237.06,80.09,252.17,95.08,87.58500000000001,244.615
124,mario,112.23,168.06,126.83,183.81,175.935,119.53
124,goomba,218.18,192.65,232.97,208.07,200.36,225.575
124,box,206.03,144.1,255.58,159.05,151.575,230.805
125,box,203.94,144.08,255.96,159.13,151.60500000000002,229.95
125,box,139.39,144.11,154.97,159.02,151.565,147.18
125,box,236.12,80.11,250.94,95.04,87.575,243.53
125,mario,112.19,167.17,126.75,182.76,174.96499999999997,119.47
125,goomba,217.23,192.71,232.05,208.22,200.465,224.64
126,box,202.08,144.11,255.76,159.07,151.59,228.92000000000002
126,mario,112.28,166.03,126.57,181.75,173.89,119.425
126,box,137.36,144.09,153.06,159.08,151.585,145.21
126,box,234.04,80.09,249.15,95.08,87.58500000000001,241.595
126,goomba,214.24,192.76,229.0,208.06,200.41,221.62
127,box,200.42,144.14,255.79,159.04,151.58999999999997,228.105
127,box,135.39,144.07,150.97,159.13,151.6,143.18
127,box,231.92,80.07,246.98,95.1,87.585,239.45
127,mario,112.28,166.03,126.57,181.75,173.89,119.425
127,goomba,212.09,192.79,227.02,207.95,200.37,219.555
128,box,199.74,144.17,255.73,159.0,151.58499999999998,227.735
128,box,134.36,144.08,149.99,159.09,151.585,142.175
128,box,230.63,80.1,246.07,95.07,87.585,238.35
128,mario,112.19,167.15,126.76,182.75,174.95,119.475
128,goomba,210.15,192.76,224.88,207.97,200.365,217.515
129,box,132.87,143.97,148.05,159.04,151.505,140.46
129,box,229.57,80.0,244.01,94.97,87.485,236.79
129,mario,112.23,168.03,126.82,183.8,175.91500000000002,119.525
129,goomba,207.13,192.77,221.89,208.4,200.585,214.51
129,box,197.2,144.08,255.64,158.99,151.53500000000003,226.42
130,mario,112.26,169.0,126.58,184.74,176.87,119.42
130,goomba,205.15,192.6,219.86,208.44,200.51999999999998,212.505
130,box,131.1,143.99,146.08,159.01,151.5,138.59
130,box,227.61,80.0,242.11,95.03,87.515,234.86
130,box,195.14,144.12,255.93,158.98,151.55,225.535
131,box,128.9,144.0,144.01,159.03,151.515,136.45499999999998
131,mario,112.23,171.96,126.6,187.72,179.84,119.41499999999999
131,box,225.67,80.0,240.06,95.02,87.50999999999999,232.865
131,goomba,202.15,192.63,216.91,208.52,200.575,209.53
